#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ransom_all;Ransom All Prisoners;Ransom All Prisoners;Ransom All Prisoners;;Pedir rescate por todos los prisioneros;;;;;;;;;x
ransom_all_desc;Make a ransom offer to all prisoners.;Make a ransom offer to all prisoners.;Make a ransom offer to all prisoners.;;Hacer una oferta de rescate a todos tus prisioneros.;;;;;;;;;x
ransom_all_tooltip;Character is asked to pay ransom.;Character is asked to pay ransom.;Character is asked to pay ransom.;;Al personaje se le ha pedido pagar el rescate.;;;;;;;;;x
ransomall.0.desc;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;[Root.Host.GetTitledFirstName] offered to release me from prison if I pay a ransom.;;[Root.Host.GetTitledFirstName] ofreció liberarte si le pagas un rescate.;;;;;;;;;x
ransomall.0.a;I will pay for my freedom, if I can afford it.;I will pay for my freedom.;I will pay for my freedom.;;Pagaré por mi libertad.;;;;;;;;;x
ransomall.0.b;I will not pay.;I will not pay.;I will not pay.;;No pienso hacerlo.;;;;;;;;;x
ransomall.0.w;You have received a ransom request for one of your courtiers. It is a good deal...;;;;Has recibido una solicitud de rescate por uno de tus cortesanos. Parece un buen trato...;;;;;;;;;x
ransomall.0.w1;I will pay to get them back.;;;;Pagaré para traerle de vuelta;;;;;;;;;x
ransomall.0.w2;I will not pay to get them back.;;;;No pienso hacerlo.;;;;;;;;;x
ransomall.0.ww;The ransom has been denied!;;;;Se ha denegado el rescato.;;;;;;;;;x
ransomall.0.ww1;Well, let them rot...;;;;Bien, pues que se pudra...;;;;;;;;;x
