#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_pelagian_stop_drinking_title;Stop Drinking;Fini la boisson;Entsagt dem Alkohol;; Dejar de beber;;;;;;;;;x
obj_pelagian_stop_drinking_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à abandonner son penchant pour la boisson qui lui cause tant de souffrances.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a abandonar sus hábitos de consumo nocivos.;;;;;;;;;x
obj_pelagian_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;Apprendre à rejeter les plaisirs inutiles;Lernt, leere Vergnügungen abzulehnen;;Aprender a Rechazar Placeres Vacíos;;;;;;;;;x
obj_pelagian_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject emply pleasures.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter les plaisirs inutiles.;;;[This.GetTitledFirstName], como un pelagiano devoto, está tratando de aprender a rechazar los placeres simples.;;;;;;;;;x
obj_pelagian_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;Apprendre à s'abstenir des excès de la chair;Lernt, fleischlichen Exzessen zu entsagen;;Aprender a abstenerse de impulsos carnales.;;;;;;;;;x
obj_pelagian_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to abstain from excesses of the flesh.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à s'abstenir des excès de la chair.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a abstenerse de los excesos de la carne.;;;;;;;;;x
obj_pelagian_reject_cruelty_title;Reject Cruelty;Rejeter la cruauté;Lehnt Grausamkeit ab;;Rechazar la crueldad;;;;;;;;;x
obj_pelagian_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject cruelty.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter la cruauté.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a rechazar la crueldad.;;;;;;;;;x
obj_pelagian_temperance_food_title;Learn Temperance with Food;Apprendre à modérer son appétit;Lernt Mäßigung beim Essen;;Aprender a ser moderado con la comida;;;;;;;;;x
obj_pelagian_temperance_food_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to eat without excess.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à manger sans excès.;;;[This.GetTitledFirstName], como un Pelagiano devoto, está tratando de aprender a comer sin exceso.;;;;;;;;;x
obj_pelagian_reject_greed_title;Learn to Reject the Poison of Greed;Apprendre à rejeter le poison de l'avarice;Lernt, das Gift der Gier abzulehnen;;Aprender a rechazar el veneno de la codicia;;;;;;;;;x
obj_pelagian_reject_greed_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject the poison that greed brings to the mind.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter ce poison de l'esprit qu'est l'avarice.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a rechazar el veneno que la codicia trae a la mente.;;;;;;;;;x
obj_pelagian_reject_envy_title;Learn to Reject Envy;Apprendre à rejeter l'envie;Lernt, Neid abzulehnen;;Aprender a rechazar la envidia;;;;;;;;;x
obj_pelagian_reject_envy_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject the poison that envy brings to the mind.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter ce poison de l'esprit qu'est l'envie.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a rechazar el veneno que la envidia trae a la mente.;;;;;;;;;x
obj_pelagian_reject_hate_title;Learn to Reject Hate;Apprendre à rejeter la haine;Lernt, Hass abzulehnen;;Aprender a rechazar el odio;;;;;;;;;x
obj_pelagian_reject_hate_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject the poison that hate and anger brings to the mind.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter la haine et la colère qui sont des poisons de l'esprit.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a rechazar el veneno que el odio y la ira traen a la mente.;;;;;;;;;x
obj_pelagian_reject_pride_title;Learn to Reject Pride;Apprendre à rejeter l'orgueil;Lernt, Stolz abzulehnen;;Aprender a rechazar el orgullo;;;;;;;;;x
obj_pelagian_reject_pride_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to reject pride.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à rejeter l'orgueil.;;;[This.GetTitledFirstName], como un pelagiano devoto, está tratando de aprender a rechazar el orgullo.;;;;;;;;;x
obj_pelagian_defeat_fear_title;Defeat Fear;Vaincre la peur;Besiegt die Furcht;;Vencer el Miedo;;;;;;;;;x
obj_pelagian_defeat_fear_desc;[This.GetTitledFirstName], as a devoted Pelagian, is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;[This.Get_Le_Title][This.GetTitledFirstName], pélagien zélé, tente d'apprendre à vaincre sa peur du monde et des projets d'autrui.;;;[This.GetTitledFirstName], como un devoto pelagiano, está tratando de aprender a vencer [This.GetHerHis] el miedo al mundo y a los diseños de los demás.;;;;;;;;;x
