#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JD_10023_death;During [From.GetHerHis] visit, [From.GetTitledName], the [From.GetJobTitle] sent from [offmap_china.Governor.GetTitledFirstName], has died. While it is a tragedy, it also puts me in the awkward position of having to inform the [offmap_china.Governor.GetTitle] about how the [From.GetJobTitle]'s diplomatic visit is canceled.;Lors de sa visite, [From.Get_le_TitledName], [From.Get_le_JobTitle] [offmap_china.Governor.Get_du_TitledFirstName], a trépassé. En plus d'être une tragédie, cela me met dans la position délicate d'avoir à en informer [offmap_china.Governor.Get_only_le_Title][offmap_china.Governor.GetTitle].;Während [From.GetHerHis]es Besuchs ist [From.GetTitledName], [From.Getderdie] [From.GetJobTitle] aus [offmap_china.Governor.GetTitledFirstName], verstorben. Wenn dies alleine schon eine Tragödie ist, bringt es mich auch in die unangenehme Situation, [offmap_china.Governor.Getdendie] [offmap_china.Governor.GetTitle] darüber zu informieren, dass der diplomatische Besuch [From.Getdesder] [From.GetJobTitle] abgesagt werden muss.;;[From.GetTitledName], [From.GetElLa] [From.GetJobTitle] enviad[From.GetOA] de [offmap_china.Governor.GetTitledFirstName], ha muerto durante su visita. Aunque es una tragedia, también me pone en la delicada posición de tener que informar al [offmap_china.Governor.GetTitle] de por qué se ha cancelado la visita diplomática de [From.GetJobTitle].;;;;;;;;;x
EVTDESC_JD_10023_prison;During [From.GetHerHis] visit, [From.GetTitledName], on a diplomatic mission from [offmap_china.Governor.GetTitledFirstName], has been imprisoned! I am not sure how to phrase the letter to the Protector General, but this obviously means that [From.GetHerHis] visit is canceled.;[From.Get_Le_TitledName], envoyé[From.Get_E] par [offmap_china.Governor.Get_le_TitledFirstName] en mission diplomatique, a été emprisonné[From.Get_E] ! Je ne suis pas certain[Root.Get_E] de savoir comment rédiger la lettre adressée au Protecteur général, mais cela paraît évident que la visite est annulée.;Während [From.GetHerHis]es Besuchs wurde [From.GetTitledName], [From.Getderdie] auf einer diplomatischen Mission aus [offmap_china.Governor.GetTitledFirstName] ist, gefangen genommen! Ich bin mir noch nicht sicher, wie ich den Brief an den Generalprotektor formulieren soll, aber das bedeutet natürlich, dass [From.GetHerHis] Besuch abgesagt wird.;;¡[From.GetTitledName], en misión diplomática de [offmap_china.Governor.GetTitledFirstName] fue encarcelad[From.GetOA] durante su visita! No sé cómo se lo explicaré al Protector general, pero es obvio que la visita está cancelada.;;;;;;;;;x
EVTDESC_JD_10023_missing;During [From.GetHerHis] visit, [From.GetTitledName], the [From.GetJobTitle] sent from [offmap_china.Governor.GetTitledFirstName], has gone missing! I am not sure how to phrase the letter to the Protector General, but this obviously means that [From.GetHerHis] visit is canceled.;[From.Get_Le_TitledName], [From.Get_le_JobTitle] envoyé[From.Get_E] par [offmap_china.Governor.Get_le_TitledFirstName], est porté[From.Get_E] disparu[From.Get_E] ! Je ne suis pas certain[Root.Get_E] de savoir comment rédiger la lettre adressée au Protecteur général, mais cela paraît évident que la visite est annulée.;Während [From.GetHerHis]es Besuchs ist [From.GetTitledName], [From.Getderdie] [From.GetJobTitle] aus [offmap_china.Governor.GetTitledFirstName] verschwunden! Ich bin mir noch nicht sicher, wie ich den Brief an den Generalprotektor formulieren soll, aber das bedeutet natürlich, dass [From.GetHerHis] Besuch abgesagt wird.;;¡[From.GetTitledName], [From.GetElLa] [From.GetJobTitle] enviado de [offmap_china.Governor.GetTitledFirstName], desapareció durante su visita! No sé cómo se lo explicaré al Protector general, pero es obvio que la visita está cancelada.;;;;;;;;;x
EVTOPTA_JD_10023;I shall have my scribes compose a letter to the [offmap_china.Governor.GetTitle].;Je vais ordonner à mes scribes d'écrire une lettre [offmap_china.Governor.Get_only_au_Title][offmap_china.Governor.GetTitle].;Meine Schreiber werden einen Brief verfassen.;;Que mis escribanos preparen una carta para [offmap_china.Governor.GetElLa] [offmap_china.Governor.GetTitle].;;;;;;;;;x
EVTOPTB_JD_10023;The [offmap_china.Governor.GetTitle] will find out eventually.;[offmap_china.Governor.GetLeLaCap] [offmap_china.Governor.GetTitle] finira par le découvrir.;[offmap_china.Governor.GetDerDie] [offmap_china.Governor.GetTitle] wird es schon merken.;;Al final [offmap_china.Governor.GetElLa] [offmap_china.Governor.GetTitle] se acabará enterando.;;;;;;;;;x
gender_is_culturally_or_religiously_eligble_tt;The gender of §Y[Root.GetTitledName]§! is culturally or religiously eligible\n;Le sexe [Root.Get_du_TitledNameJ] est culturellement ou religieusement éligible\n;Das Geschlecht von §Y[Root.GetTitledName]§! ist kulturell oder religiös berechtigt\n;;El género de §Y[Root.GetTitledName]§! es elegible cultural o religiosamente \n;;;;;;;;;x
special_gender_laws_active_tt;Special §YLaws§! or §YGame Rules§! are active\n;Les §Ylois§! ou §Yrègles du jeu§! spéciales sont actives\n;Spezielle §YGesetze§! oder §YSpielregeln§! sind aktiv\n;;Activas §YLeyes§! o §Yreglas de juego§! especiales\n;;;;;;;;;x
no_special_gender_laws_active_tt;Special §YLaws§! or §YGame Rules§! are NOT active\n;Les §Ylois§! ou §Yrègles du jeu§! spéciales ne sont pas actives\n;Spezielle §YGesetze§! oder §YSpielregeln§! sind NICHT aktiv\n;;NO activas §YLeyes§! o §Yreglas de juego§! especiales\n;;;;;;;;;x
tribal_or_nomadic_government_tt;Has §YTribal§! or §YNomadic§! Government\n;A un gouvernement §Ytribal§! ou §Ynomade§!\n;Hat die Regierungsform §YStamm§! oder §YNomade§!\n;;Tiene un gobierno §Ytribal§! o §Ynómada§! \n;;;;;;;;;x
has_liege_vassal_or_neighbor_of_norse_religion_tt;Has a §YLiege§!, §YVassal§!, or a §Yneighboring ruler§! who follows the §YGermanic§! faith\n;A un §Yseigneur lige§!, un §Yvassal§! ou un §Yvoisin§! qui suit la religion §Ygermanique§!\n;Hat einen §YLehnsherrn§!, §YVasallen§! oder §Ybenachbarten Herrscher§!, der dem §YGermanischen§! Glauben folgt\n;;Tiene un §Yseñor§!, §Yvasallo§!, o §Ygobernante vecino§! que sigue la fe §Ygermánica§! \n;;;;;;;;;x
