#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
######## Celtic Flavor events;;;;;;;;;x
EVTDESCancrel.1252;Unable to sleep, you take a walk in the castle gardens. Suddenly, you see a dark form near a small stream. It seems to be a woman, dressed in green  and washing some bloody rags, as you try to see her more clearly, she raises her head and lets go a melodious, soul wrenching scream. By the time you blink your eyes, she has disappeared.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1252;It’s a Banshee!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.1252;Pah, spirits don't scare me.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.1253;The fresh sea air fills your lungs as you look over the wild waters of the bay, you notice a strange ship, sailing in the distance. Its making is ancient and it never seems to approach the land, only slipping in and out of the fog like a spirit on the doorway.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.1253;Bran’s ship, come to see the shores of Éire.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.0150;Out on a stroll in the mountain nearby, you encounter a strange, entrancing melody, following the source of the sound, you come across an old, blind bard, playing his harp with a grace akin to the gods themselves.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0150;Stand by and listen;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0150;Mind if I join?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
sing_poetry;You start declaiming poetry\n;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.0151;The lake is placid as you throw your rope into the water, you let the soft singing of the birds lull you into deep thoughts as you daydream on its banks. Suddenly, the rope stirs and you are pulled into the water. Opening your eyes in the water shows a dark form swiftly swimming towards you.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0151;Stay and Fight;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0151;Run Away!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#St-Kilda;;;;;;;;;;;;;;;x
EVTDESCancrel.0208;You feel terribly ill, as if on the brink of death. You have heard rumours of a group of celts on the island of St. Kilda who continue to practice their old ways. These pagans may have forgotten knowledge on how to cure your illness.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0208;Maybe these celts can cure me;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
travel_island;You travel to the island\n;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0208;Don't these barbarians also collect the heads of their enemies?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
ignore_rumors;You ignore the rumours\n;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.0209;As you arrive on the island, you begin to search for the rumoured celts. Suddenly, someone grabs you and demands to know why you are here. After you explain your predicament, the man informs you that you that you can only be cured of your ailment if you worship their gods.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0209;So, your gods can perform miracles? Let's get started then.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.0209;I refuse to accept your false gods!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.0210;After several days of rest, you feel much better, and have begun to worship the islander's gods as your own. As you travel back home, you learn to accept your new faith as the one true faith;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0210;Their gods are now my gods;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
MIRACLE_STKILDA;The magic of the druids has healed you\n;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;X
#Gaelic Abdication;;;;;;;;;;;;;;;x
EVTDESCancrel.0214;During the first great battle at Mag Tuired, Nuada lost an arm in combat with the Fir Bolg champion Sreng. Having lost his arm, Nuada was no longer eligible for kingship since, by law, the king must be physically perfect, and he was replaced as king by the tyrant Bres.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.0214;May [This.Religion.GetRandomGodNameCap] protect us!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
abdicate_gaelic;Abdicate your throne;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
abdicate_gaelic_desc;Even the great Nuada abdicated his throne after losing a limb, are you greater than a god?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
###### Hellenic Flavor events;;;;;;;;;;x
EVTDESCancrel.2240;A local Augur has come to your court to perform a public Auguria, the ceremony is held in a plain outside the castle walls and while approaching clouds make you worrisome, the Augur will not postpone it. After observing the entrails of many sacrifices, the Augur is about to declaim the will of the gods when a bolt of lightning strikes him violently!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.2240;It seems the gods spoke for themselves;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.2240;Am I next?;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESCancrel.2241;While watching the latest play from a local philosopher, you notice that some of the actors are completely drunk. This is an insult to your honor and to the art of the Theatre, though the man in charge assures you they will be taken care of, it is your duty to take charge.;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTAancrel.2241;Kick them out!;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTOPTBancrel.2241;Actually, this strengthens the play;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
